P Rank	Array_No	Symbol	Chromosome	TrainingMeans	Probe Set ID	PC1	PC2	PC3	PC4	PC5	PC6
1	202345_s_at	NA	8q21.13	9.186073669	202345_s_at	-0.276509440639441	-0.060954303563899	0.466413817326959	-0.218372753556791	0.030201673135831	-0.130930672656620
2	1555864_s_at	NA	Xp22.2-p22.1	10.822446280	1555864_s_at	-0.060784636907003	0.020442606704602	0.005245102064711	0.036415426236612	0.027834594214702	0.029353735297726
3	204033_at	TRIP13	5p15.33	8.012544927	204033_at	-0.215047464374684	0.090648948619742	-0.066418612785976	-0.137666093348181	-0.058019294900433	0.050704205582013
4	206513_at	AIM2	1q22	11.222032890	206513_at	-0.053599148233246	0.006105415008845	0.085771157888684	0.052783131509036	0.088409416477008	-0.065842695757190
5	1555274_a_at	SELI	2p24.1	8.437095230	1555274_a_at	-0.086436853237556	0.003909580397627	0.017642857780952	0.097476081416863	0.026668299144245	0.012702316284858
6	211576_s_at	SLC19A1	21q22.3	7.476327308	211576_s_at	-0.217047753065764	0.113926284345077	0.443848384074172	-0.156907970229527	0.165529757856075	0.010647272446118
7	204016_at	LARS2	3p21.3	6.940529454	204016_at	-0.056797177236326	0.044342601492291	0.014134715768812	-0.163167644520926	0.009264377483240	0.037357469914229
8	1565951_s_at	OPN3	1q43	7.593915179	1565951_s_at	-0.140328625148599	0.068645712980045	-0.048399299507530	0.092543454192386	0.139197919819358	-0.056879169132411
9	219918_s_at	ASPM	1q31	8.596057659	219918_s_at	-0.395810195786251	0.100244988823886	-0.278017158263956	0.007832492830896	-0.238496188599666	-0.013160256198373
10	201947_s_at	CCT2	12q15	12.151339690	201947_s_at	-0.088713865179021	0.060581639639592	0.053150914815827	0.035558560730355	-0.014756877499774	0.065331620158290
11	213535_s_at	UBE2I	16p13.3	11.682371050	213535_s_at	-0.031150367221211	0.033053155877923	-0.036992923443037	0.121442108781354	0.001086578365978	0.011514108092518
12	204092_s_at	STK6	20q13.2-q13.3	8.939495433	204092_s_at	-0.181060348310772	0.036888656970835	-0.125669519757005	-0.170486812633297	0.016112659819383	0.015878208673527
13	213607_x_at	FLJ13052	1p36.33-p36.21	8.916220418	213607_x_at	-0.043498792754201	0.038386682379670	0.009303566650662	0.150409134092375	-0.102865621853860	0.256048484430760
14	208117_s_at	FLJ12525	xq12-q13	9.781414746	208117_s_at	-0.059409011387145	0.043798411414387	0.019643257777068	0.054942440840398	-0.002876279642357	0.040926748946176
15	210334_x_at	BIRC5	17q25	7.252669212	210334_x_at	-0.187998183490257	0.012506535866595	-0.126395143502765	-0.072487223916459	0.030949035201938	0.270503315560866
16	204023_at	NA	3q27	10.021177950	204023_at	-0.136534893193596	0.058024074668550	-0.021416479696179	0.012546025612115	-0.005874824366568	0.032270103196033
17	201897_s_at	CKS1B	1q21.2	10.103850400	201897_s_at	-0.181865689745388	0.029437114095846	-0.123439901554510	0.096657529521188	0.004624921329932	-0.109544095376185
18	216194_s_at	CKAP1	19q13.11-q13.12	10.148242180	216194_s_at	-0.092740595901711	0.045774066960145	0.066025999146078	0.086595437645162	-0.020037761515974	0.084404627094146
